crim,zn,indus,chas,nox,age,dis,rad,tax,ptratio,b,log_lstat,log_medv,win_rm
0.1712,0.0,8.56,0,0.52,91.9,2.211,5,384,20.9,395.67,2.926382195419198,2.926382195419198,5.836
0.13117,0.0,8.56,0,0.52,85.2,2.1224,5,384,20.9,387.69,2.645465325910589,2.645465325910589,6.127
0.12802,0.0,8.56,0,0.52,97.1,2.4329,5,384,20.9,395.24,2.50715725872282,2.50715725872282,6.474
0.26363,0.0,8.56,0,0.52,91.2,2.5451,5,384,20.9,391.23,2.744060638625243,2.744060638625243,6.229
0.10793,0.0,8.56,0,0.52,54.4,2.7778,5,384,20.9,393.49,2.5649493574615367,2.5649493574615367,6.195
0.10084,0.0,10.01,0,0.547,81.6,2.6775,6,432,17.8,395.59,2.318458442150336,2.318458442150336,6.715
0.12329,0.0,10.01,0,0.547,92.9,2.3534,6,432,17.8,394.95,2.785628335747585,2.785628335747585,5.913
0.22212,0.0,10.01,0,0.547,95.4,2.548,6,432,17.8,396.9,2.8384934971274993,2.8384934971274993,6.092
0.14231,0.0,10.01,0,0.547,84.2,2.2565,6,432,17.8,388.74,2.34660197841082,2.34660197841082,6.254
0.17134,0.0,10.01,0,0.547,88.2,2.4631,6,432,17.8,344.91,2.757475084429733,2.757475084429733,5.928
0.13158,0.0,10.01,0,0.547,72.5,2.7301,6,432,17.8,393.3,2.488234439880675,2.488234439880675,6.176
0.15098,0.0,10.01,0,0.547,82.6,2.7474,6,432,17.8,394.51,2.33214389523559,2.33214389523559,6.021
0.13058,0.0,10.01,0,0.547,73.1,2.4775,6,432,17.8,338.63,2.7324175575505043,2.7324175575505043,5.872
0.14476,0.0,10.01,0,0.547,65.2,2.7592,6,432,17.8,391.5,2.6108048166633746,2.6108048166633746,5.731
0.06899,0.0,25.65,0,0.581,69.7,2.2577,2,188,19.1,389.15,2.6651427000909336,2.6651427000909336,5.87
0.07165,0.0,25.65,0,0.581,84.1,2.1974,2,188,19.1,377.67,2.658159431488745,2.658159431488745,6.004
0.09299,0.0,25.65,0,0.581,92.9,2.0869,2,188,19.1,378.09,2.8864752876170416,2.8864752876170416,5.961
0.15038,0.0,25.65,0,0.581,97.0,1.9444,2,188,19.1,370.31,3.2351427973320726,3.2351427973320726,5.856
0.09849,0.0,25.65,0,0.581,95.8,2.0063,2,188,19.1,379.38,2.866761892257031,2.866761892257031,5.879
0.16902,0.0,25.65,0,0.581,88.4,1.9929,2,188,19.1,385.02,2.6953026282797072,2.6953026282797072,5.986
0.38735,0.0,25.65,0,0.581,95.6,1.7572,2,188,19.1,359.29,3.3054204262683866,3.3054204262683866,5.613
0.25915,0.0,21.89,0,0.624,96.0,1.7883,4,437,21.2,392.11,2.844327819394758,2.844327819394758,5.693
0.32543,0.0,21.89,0,0.624,98.8,1.8125,4,437,21.2,396.9,2.733717947850788,2.733717947850788,6.431
0.88125,0.0,21.89,0,0.624,94.7,1.9799,4,437,21.2,396.9,2.9090844668283187,2.9090844668283187,5.637
0.34006,0.0,21.89,0,0.624,98.9,2.1185,4,437,21.2,395.04,2.533696813957432,2.533696813957432,6.458
1.19294,0.0,21.89,0,0.624,97.7,2.271,4,437,21.2,396.9,2.506341930508065,2.506341930508065,6.326
0.59005,0.0,21.89,0,0.624,97.9,2.3274,4,437,21.2,385.76,2.4087452888224363,2.4087452888224363,6.372
0.32982,0.0,21.89,0,0.624,95.4,2.4699,4,437,21.2,388.69,2.710048203764883,2.710048203764883,5.822
0.97617,0.0,21.89,0,0.624,98.4,2.346,4,437,21.2,262.76,2.851284369188118,2.851284369188118,5.757
0.55778,0.0,21.89,0,0.624,98.2,2.1107,4,437,21.2,394.67,2.830857630363757,2.830857630363757,6.335
0.32264,0.0,21.89,0,0.624,93.5,1.9669,4,437,21.2,378.25,2.8273136219290276,2.8273136219290276,5.942
0.35233,0.0,21.89,0,0.624,98.4,1.8498,4,437,21.2,394.08,2.6803363625346943,2.6803363625346943,6.454
0.2498,0.0,21.89,0,0.624,98.2,1.6686,4,437,21.2,392.04,3.0596455992976437,3.0596455992976437,5.857
0.54452,0.0,21.89,0,0.624,97.9,1.6687,4,437,21.2,396.9,2.9156062290747062,2.9156062290747062,6.151
0.2909,0.0,21.89,0,0.624,93.6,1.6119,4,437,21.2,388.08,3.184698373066614,3.184698373066614,6.174
1.62864,0.0,21.89,0,0.624,100.0,1.4394,4,437,21.2,396.9,3.538347219809389,3.538347219809389,5.304
3.32105,0.0,19.58,1,0.871,100.0,1.3216,5,403,14.7,396.9,3.2891478778535324,3.2891478778535324,5.403
4.0974,0.0,19.58,0,0.871,100.0,1.4118,5,403,14.7,396.9,3.2741212990941793,3.2741212990941793,5.468
2.77974,0.0,19.58,0,0.871,97.8,1.3459,5,403,14.7,396.9,3.377246160839642,3.377246160839642,5.304
2.37934,0.0,19.58,0,0.871,100.0,1.4191,5,403,14.7,172.91,3.3250360206965914,3.3250360206965914,6.13
2.15505,0.0,19.58,0,0.871,100.0,1.5166,5,403,14.7,169.27,2.8124102164264526,2.8124102164264526,5.628
2.36862,0.0,19.58,0,0.871,95.7,1.4608,5,403,14.7,391.71,3.3854066957558313,3.3854066957558313,5.304
2.33099,0.0,19.58,0,0.871,93.8,1.5296,5,403,14.7,356.99,3.343568268825519,3.343568268825519,5.304
2.73397,0.0,19.58,0,0.871,94.9,1.5257,5,403,14.7,351.85,3.065724645374026,3.065724645374026,5.597
1.6566,0.0,19.58,0,0.871,97.3,1.618,5,403,14.7,372.8,2.6461747973841225,2.6461747973841225,6.122
1.49632,0.0,19.58,0,0.871,100.0,1.5916,5,403,14.7,341.6,2.5862591440482876,2.5862591440482876,5.404
1.12658,0.0,19.58,1,0.871,88.0,1.6102,5,403,14.7,343.28,2.4948569806411682,2.4948569806411682,5.304
2.14918,0.0,19.58,0,0.871,98.5,1.6232,5,403,14.7,261.95,2.7593768282675506,2.7593768282675506,5.709
1.41385,0.0,19.58,1,0.871,96.0,1.7494,5,403,14.7,321.02,2.716018370751387,2.716018370751387,6.129
3.53501,0.0,19.58,1,0.871,82.6,1.7455,5,403,14.7,88.01,2.7093826463359885,2.7093826463359885,6.152
2.44668,0.0,19.58,0,0.871,94.0,1.7364,5,403,14.7,88.63,2.7813006628418027,2.7813006628418027,5.304
1.22358,0.0,19.58,0,0.605,97.4,1.8773,5,403,14.7,363.43,1.5238800240724537,1.5238800240724537,6.943
1.34284,0.0,19.58,0,0.605,100.0,1.7573,5,403,14.7,353.89,1.860974538249528,1.860974538249528,6.066
1.42502,0.0,19.58,0,0.871,100.0,1.7659,5,403,14.7,364.31,2.0001277349601105,2.0001277349601105,6.51
1.27346,0.0,19.58,1,0.605,92.6,1.7984,5,403,14.7,338.92,1.7047480922384253,1.7047480922384253,6.25
1.46336,0.0,19.58,0,0.605,90.8,1.9709,5,403,14.7,374.43,0.5481214085096876,0.5481214085096876,7.489
1.83377,0.0,19.58,1,0.605,98.2,2.0407,5,403,14.7,389.61,0.6523251860396901,0.6523251860396901,7.61
1.51902,0.0,19.58,1,0.605,93.9,2.162,5,403,14.7,388.45,1.199964782928397,1.199964782928397,7.61
2.24236,0.0,19.58,0,0.605,91.8,2.422,5,403,14.7,395.11,2.454447442303292,2.454447442303292,5.854
2.924,0.0,19.58,0,0.605,93.0,2.2834,5,403,14.7,240.16,2.2834022735772717,2.2834022735772717,6.101
2.01019,0.0,19.58,0,0.605,96.2,2.0459,5,403,14.7,369.3,1.308332819650179,1.308332819650179,7.61
1.80028,0.0,19.58,0,0.605,79.2,2.4259,5,403,14.7,227.61,2.4965057856313524,2.4965057856313524,5.877
2.3004,0.0,19.58,0,0.605,96.1,2.1,5,403,14.7,297.09,2.4069451083182885,2.4069451083182885,6.319
2.44953,0.0,19.58,0,0.605,95.2,2.2625,5,403,14.7,330.04,2.4265710727750367,2.4265710727750367,6.402
1.20742,0.0,19.58,0,0.605,94.6,2.4259,5,403,14.7,292.29,2.6693093727857793,2.6693093727857793,5.875
2.3139,0.0,19.58,0,0.605,97.3,2.3887,5,403,14.7,348.13,2.4874035299865875,2.4874035299865875,5.88
0.13914,0.0,4.05,0,0.51,88.5,2.5961,5,296,16.6,396.9,2.6871669901857858,2.6871669901857858,5.572
0.09178,0.0,4.05,0,0.51,84.1,2.6463,5,296,16.6,395.5,2.201659174404085,2.201659174404085,6.416
0.08447,0.0,4.05,0,0.51,68.7,2.7019,5,296,16.6,393.23,2.265921108622454,2.265921108622454,5.859
0.06664,0.0,4.05,0,0.51,33.1,3.1323,5,296,16.6,390.96,1.673351238177753,1.673351238177753,6.546
0.07022,0.0,4.05,0,0.51,47.2,3.5549,5,296,16.6,393.23,2.3135250330323798,2.3135250330323798,6.02
0.05425,0.0,4.05,0,0.51,73.4,3.3175,5,296,16.6,395.6,1.8389610707123492,1.8389610707123492,6.315
0.06642,0.0,4.05,0,0.51,74.4,2.9153,5,296,16.6,391.27,1.9344157696295783,1.9344157696295783,6.86
0.0578,0.0,2.46,0,0.488,58.4,2.829,3,193,17.8,396.9,1.6174060820832772,1.6174060820832772,6.98
0.06588,0.0,2.46,0,0.488,83.3,2.741,3,193,17.8,395.56,2.0228711901914416,2.0228711901914416,7.61
0.06888,0.0,2.46,0,0.488,62.2,2.5979,3,193,17.8,396.9,2.2460147415056513,2.2460147415056513,6.144
0.09103,0.0,2.46,0,0.488,92.2,2.7006,3,193,17.8,394.12,1.572773928062509,1.572773928062509,7.155
0.10008,0.0,2.46,0,0.488,95.6,2.847,3,193,17.8,396.9,1.7369512327330598,1.7369512327330598,6.563
0.08308,0.0,2.46,0,0.488,89.8,2.9879,3,193,17.8,391.0,2.637627736805664,2.637627736805664,5.604
0.06047,0.0,2.46,0,0.488,68.8,3.2797,3,193,17.8,387.11,2.5764217586237734,2.5764217586237734,6.153
0.05602,0.0,2.46,0,0.488,53.6,3.1992,3,193,17.8,392.63,1.4929040961781488,1.4929040961781488,7.61
0.07875,45.0,3.44,0,0.437,41.1,3.7886,5,398,15.2,393.87,1.8991179875485542,1.8991179875485542,6.782
0.12579,45.0,3.44,0,0.437,29.1,4.5667,5,398,15.2,382.84,1.5173226235262947,1.5173226235262947,6.556
0.0837,45.0,3.44,0,0.437,38.9,4.5667,5,398,15.2,396.9,1.6845453849209058,1.6845453849209058,7.185
0.09068,45.0,3.44,0,0.437,21.5,6.4798,5,398,15.2,377.68,1.62924053973028,1.62924053973028,6.951
0.06911,45.0,3.44,0,0.437,30.8,6.4798,5,398,15.2,389.71,1.545432582458188,1.545432582458188,6.739
0.08664,45.0,3.44,0,0.437,26.3,6.4798,5,398,15.2,390.49,1.0543120297715298,1.0543120297715298,7.178
0.02187,60.0,2.93,0,0.401,9.9,6.2196,1,265,15.6,393.37,1.6154199841116479,1.6154199841116479,6.8
0.01439,60.0,2.93,0,0.401,18.8,6.2196,1,265,15.6,376.7,1.4770487243883548,1.4770487243883548,6.604
0.01381,80.0,0.46,0,0.422,32.0,5.6484,4,255,14.4,394.23,1.0885619528146082,1.0885619528146082,7.61
0.04011,80.0,1.52,0,0.404,34.1,7.309,2,329,12.6,396.9,1.4060969884160703,1.4060969884160703,7.287
0.04666,80.0,1.52,0,0.404,36.6,7.309,2,329,12.6,354.31,2.152924318439639,2.152924318439639,7.107
0.03768,80.0,1.52,0,0.404,38.3,7.309,2,329,12.6,392.2,1.890095369948917,1.890095369948917,7.274
0.0315,95.0,1.47,0,0.403,15.3,7.6534,3,402,17.0,396.9,1.5173226235262947,1.5173226235262947,6.975
0.01778,95.0,1.47,0,0.403,13.9,7.6534,3,402,17.0,384.3,1.4929040961781488,1.4929040961781488,7.135
0.03445,82.5,2.03,0,0.415,38.4,6.27,2,348,14.7,393.77,2.005525858729668,2.005525858729668,6.162
0.02177,82.5,2.03,0,0.415,15.7,6.27,2,348,14.7,395.38,1.1346227261911428,1.1346227261911428,7.61
0.0351,95.0,2.68,0,0.4161,33.2,5.118,4,224,14.7,392.78,1.3376291891386096,1.3376291891386096,7.61
0.02009,95.0,2.68,0,0.4161,31.9,5.118,4,224,14.7,390.55,1.0577902941478545,1.0577902941478545,7.61
0.13642,0.0,10.59,0,0.489,22.3,3.9454,4,277,18.6,396.9,2.386006701133118,2.386006701133118,5.891
0.22969,0.0,10.59,0,0.489,52.5,4.3549,4,277,18.6,394.87,2.395164274287139,2.395164274287139,6.326
0.25199,0.0,10.59,0,0.489,72.7,4.3549,4,277,18.6,389.43,2.8936995479888394,2.8936995479888394,5.783
0.13587,0.0,10.59,1,0.489,59.1,4.2392,4,277,18.6,381.32,2.6851226964585053,2.6851226964585053,6.064
0.43571,0.0,10.59,1,0.489,100.0,3.875,4,277,18.6,396.9,3.139399623366404,3.139399623366404,5.344
0.17446,0.0,10.59,1,0.489,92.1,3.8771,4,277,18.6,393.25,2.848970892158587,2.848970892158587,5.96
0.37578,0.0,10.59,1,0.489,88.6,3.665,4,277,18.6,395.24,3.177220149599368,3.177220149599368,5.404
0.21719,0.0,10.59,1,0.489,53.8,3.6526,4,277,18.6,390.94,2.7744619666214616,2.7744619666214616,5.807
0.14052,0.0,10.59,0,0.489,32.3,3.9454,4,277,18.6,385.81,2.238579763018133,2.238579763018133,6.375
0.28955,0.0,10.59,0,0.489,9.8,3.5875,4,277,18.6,348.93,3.386083743852107,3.386083743852107,5.412
0.19802,0.0,10.59,0,0.489,42.4,3.9454,4,277,18.6,393.63,2.248128907197987,2.248128907197987,6.182
0.0456,0.0,13.89,1,0.55,56.0,3.1121,5,276,16.4,392.8,2.6034301519721073,2.6034301519721073,5.888
0.07013,0.0,13.89,0,0.55,85.1,3.4211,5,276,16.4,392.78,2.2710944259026746,2.2710944259026746,6.642
0.11069,0.0,13.89,1,0.55,93.8,2.8893,5,276,16.4,396.9,2.8859174075467844,2.8859174075467844,5.951
0.11425,0.0,13.89,1,0.55,92.4,3.3633,5,276,16.4,393.74,2.3513752571634776,2.3513752571634776,6.373
0.35809,0.0,6.2,1,0.507,88.5,2.8617,8,307,17.4,391.7,2.2731562823032334,2.2731562823032334,6.951
0.40771,0.0,6.2,1,0.507,91.3,3.048,8,307,17.4,395.24,3.0661907372025525,3.0661907372025525,6.164
0.62356,0.0,6.2,1,0.507,77.7,3.2721,8,307,17.4,390.39,2.295560478057081,2.295560478057081,6.879
0.6147,0.0,6.2,0,0.507,80.8,3.2721,8,307,17.4,396.9,2.028148247292285,2.028148247292285,6.618
0.31533,0.0,6.2,0,0.504,78.3,2.8944,8,307,17.4,385.05,1.4206957878372228,1.4206957878372228,7.61
0.52693,0.0,6.2,0,0.504,83.0,2.8944,8,307,17.4,382.0,1.5325568680981427,1.5325568680981427,7.61
0.38214,0.0,6.2,0,0.504,86.5,3.2157,8,307,17.4,387.38,1.1410330045520618,1.1410330045520618,7.61
